Physician Name,Hospital Name,Detailed Region,Procedure,Number of Cases,Number of Deaths,Observed Mortality Rate,Expected Mortality Rate
Loulmet D F,Bellevue Hospital Ctr,Manhattan,Valve or Valve/CABG,39,3,7.69,2.53
Ribakove G,Bellevue Hospital Ctr,Manhattan,Valve or Valve/CABG,67,4,5.97,2.55
Schwartz C F,Bellevue Hospital Ctr,Manhattan,Valve or Valve/CABG,27,0,0,1.06
Geller C M,Beth Israel Med Ctr,Manhattan,CABG,82,0,0,1.07
Hoffman D,Beth Israel Med Ctr,Manhattan,CABG,185,2,1.08,0.99
Ko W,Beth Israel Med Ctr,Manhattan,CABG,19,0,0,1.33
Tranbaugh R,Beth Israel Med Ctr,Manhattan,CABG,276,2,0.72,1.1
Geller C M,Beth Israel Med Ctr,Manhattan,Valve or Valve/CABG,116,2,1.72,2.11
Hoffman D,Beth Israel Med Ctr,Manhattan,Valve or Valve/CABG,235,6,2.55,1.59
Ko W,Beth Israel Med Ctr,Manhattan,Valve or Valve/CABG,49,0,0,1.97
Tranbaugh R,Beth Israel Med Ctr,Manhattan,Valve or Valve/CABG,452,15,3.32,2.25
Aldridge J,Buffalo General Hosp,Western NY - Buffalo,CABG,4,0,0,1.12
Ashraf M,Buffalo General Hosp,Western NY - Buffalo,CABG,11,0,0,1.1
Grosner G,Buffalo General Hosp,Western NY - Buffalo,CABG,736,12,1.63,1.4
Picone A,Buffalo General Hosp,Western NY - Buffalo,CABG,177,7,3.95,1.51
Aldridge J,Buffalo General Hosp,Western NY - Buffalo,Valve or Valve/CABG,4,0,0,1.12
Ashraf M,Buffalo General Hosp,Western NY - Buffalo,Valve or Valve/CABG,11,0,0,1.1
Grosner G,Buffalo General Hosp,Western NY - Buffalo,Valve or Valve/CABG,1160,23,1.98,2.04
Picone A,Buffalo General Hosp,Western NY - Buffalo,Valve or Valve/CABG,243,9,3.7,2
Abbott A E,Champ.Valley Phys Hosp,Capital District,CABG,121,2,1.65,1.24
Canavan T,Champ.Valley Phys Hosp,Capital District,CABG,1,0,0,1.85
El Amir N,Champ.Valley Phys Hosp,Capital District,CABG,8,0,0,0.74
Singh C,Champ.Valley Phys Hosp,Capital District,CABG,44,1,2.27,1.38
Abbott A E,Champ.Valley Phys Hosp,Capital District,Valve or Valve/CABG,164,4,2.44,1.58
Canavan T,Champ.Valley Phys Hosp,Capital District,Valve or Valve/CABG,1,0,0,1.85
El Amir N,Champ.Valley Phys Hosp,Capital District,Valve or Valve/CABG,9,0,0,0.78
Singh C,Champ.Valley Phys Hosp,Capital District,Valve or Valve/CABG,50,1,2,1.56
Depan H,Ellis Hospital,Capital District,CABG,98,3,3.06,1.99
Reich H,Ellis Hospital,Capital District,CABG,204,4,1.96,1.21
Singh C,Ellis Hospital,Capital District,CABG,149,0,0,1.36
Depan H,Ellis Hospital,Capital District,Valve or Valve/CABG,150,5,3.33,2.58
Reich H,Ellis Hospital,Capital District,Valve or Valve/CABG,358,9,2.51,2.38
Singh C,Ellis Hospital,Capital District,Valve or Valve/CABG,216,1,0.46,1.86
Bell-Thomson J,Erie County Med Ctr,Western NY - Buffalo,CABG,1,0,0,0.5
Downing S W,Erie County Med Ctr,Western NY - Buffalo,CABG,268,3,1.12,1.44
Picone A,Erie County Med Ctr,Western NY - Buffalo,CABG,22,0,0,0.81
Bell-Thomson J,Erie County Med Ctr,Western NY - Buffalo,Valve or Valve/CABG,1,0,0,0.5
Downing S W,Erie County Med Ctr,Western NY - Buffalo,Valve or Valve/CABG,308,5,1.62,1.77
Picone A,Erie County Med Ctr,Western NY - Buffalo,Valve or Valve/CABG,33,0,0,2.24
Lundy E F,Good Sam - Suffern,NY Metro - New Rochelle,CABG,201,1,0.5,1.5
Salenger R,Good Sam - Suffern,NY Metro - New Rochelle,CABG,237,1,0.42,1.2
Lundy E F,Good Sam - Suffern,NY Metro - New Rochelle,Valve or Valve/CABG,330,5,1.52,2.31
Salenger R,Good Sam - Suffern,NY Metro - New Rochelle,Valve or Valve/CABG,279,3,1.08,1.27
Ciuffo G B,Lenox Hill Hospital,Manhattan,CABG,10,0,0,2.3
Gorki H,Lenox Hill Hospital,Manhattan,CABG,18,0,0,1.67
Loulmet D F,Lenox Hill Hospital,Manhattan,CABG,3,0,0,0.36
Patel N C,Lenox Hill Hospital,Manhattan,CABG,536,6,1.12,1.5
Plestis K A,Lenox Hill Hospital,Manhattan,CABG,83,1,1.2,1.5
Subramanian V,Lenox Hill Hospital,Manhattan,CABG,320,3,0.94,1.7
Ciuffo G B,Lenox Hill Hospital,Manhattan,Valve or Valve/CABG,14,0,0,2.21
Gorki H,Lenox Hill Hospital,Manhattan,Valve or Valve/CABG,21,1,4.76,2.01
Loulmet D F,Lenox Hill Hospital,Manhattan,Valve or Valve/CABG,22,2,9.09,3.31
Patel N C,Lenox Hill Hospital,Manhattan,Valve or Valve/CABG,747,13,1.74,2.19
Plestis K A,Lenox Hill Hospital,Manhattan,Valve or Valve/CABG,218,2,0.92,2.94
Subramanian V,Lenox Hill Hospital,Manhattan,Valve or Valve/CABG,492,26,5.28,3.56
Graver L,LIJ Medical Center,Queens,CABG,154,2,1.3,1.58
Manetta F,LIJ Medical Center,Queens,CABG,72,1,1.39,1.55
Meyer D B,LIJ Medical Center,Queens,CABG,1,0,0,1.07
Palazzo R,LIJ Medical Center,Queens,CABG,154,0,0,1.35
Scheinerman S J,LIJ Medical Center,Queens,CABG,168,2,1.19,1.72
Graver L,LIJ Medical Center,Queens,Valve or Valve/CABG,453,14,3.09,3.96
Manetta F,LIJ Medical Center,Queens,Valve or Valve/CABG,105,3,2.86,2.66
Meyer D B,LIJ Medical Center,Queens,Valve or Valve/CABG,1,0,0,1.07
Palazzo R,LIJ Medical Center,Queens,Valve or Valve/CABG,259,1,0.39,2.84
Parnell V,LIJ Medical Center,Queens,Valve or Valve/CABG,2,0,0,0.9
Scheinerman S J,LIJ Medical Center,Queens,Valve or Valve/CABG,347,2,0.58,3.04
Kelley J,M I Bassett Hospital,Capital District,CABG,79,1,1.27,1.28
Lancey R A,M I Bassett Hospital,Capital District,CABG,104,4,3.85,1.66
Kelley J,M I Bassett Hospital,Capital District,Valve or Valve/CABG,121,1,0.83,1.84
Lancey R A,M I Bassett Hospital,Capital District,Valve or Valve/CABG,149,5,3.36,2.26
Abrol S,Maimonides Medical Ctr,Kings,CABG,192,3,1.56,1.79
Crooke G,Maimonides Medical Ctr,Kings,CABG,35,0,0,1.76
Jacobowitz I,Maimonides Medical Ctr,Kings,CABG,302,3,0.99,2.04
Lahey S J,Maimonides Medical Ctr,Kings,CABG,13,1,7.69,3.45
Ribakove G,Maimonides Medical Ctr,Kings,CABG,40,1,2.5,2.8
Saunders P,Maimonides Medical Ctr,Kings,CABG,4,0,0,1.06
Stephens G A,Maimonides Medical Ctr,Kings,CABG,65,2,3.08,0.94
Vaynblat M,Maimonides Medical Ctr,Kings,CABG,154,6,3.9,1.73
Abrol S,Maimonides Medical Ctr,Kings,Valve or Valve/CABG,287,8,2.79,2.93
Crooke G,Maimonides Medical Ctr,Kings,Valve or Valve/CABG,58,0,0,2.88
Jacobowitz I,Maimonides Medical Ctr,Kings,Valve or Valve/CABG,427,4,0.94,3.06
Lahey S J,Maimonides Medical Ctr,Kings,Valve or Valve/CABG,17,2,11.76,3.96
Ribakove G,Maimonides Medical Ctr,Kings,Valve or Valve/CABG,102,4,3.92,3.37
Saunders P,Maimonides Medical Ctr,Kings,Valve or Valve/CABG,4,0,0,1.06
Stephens G A,Maimonides Medical Ctr,Kings,Valve or Valve/CABG,90,5,5.56,1.61
Vaynblat M,Maimonides Medical Ctr,Kings,Valve or Valve/CABG,241,10,4.15,2.93
Aldridge J,Mercy Hospital,Western NY - Buffalo,CABG,66,2,3.03,1.88
Bell-Thomson J,Mercy Hospital,Western NY - Buffalo,CABG,447,8,1.79,1.4
Downing S W,Mercy Hospital,Western NY - Buffalo,CABG,158,0,0,1.29
Lico S,Mercy Hospital,Western NY - Buffalo,CABG,349,3,0.86,1.4
Aldridge J,Mercy Hospital,Western NY - Buffalo,Valve or Valve/CABG,86,4,4.65,2.74
Bell-Thomson J,Mercy Hospital,Western NY - Buffalo,Valve or Valve/CABG,748,19,2.54,1.92
Downing S W,Mercy Hospital,Western NY - Buffalo,Valve or Valve/CABG,183,0,0,1.67
Lico S,Mercy Hospital,Western NY - Buffalo,Valve or Valve/CABG,420,7,1.67,1.92
Aldridge J,Millard Fillmore Hosp,Western NY - Buffalo,CABG,128,1,0.78,1.57
Ashraf M,Millard Fillmore Hosp,Western NY - Buffalo,CABG,588,8,1.36,1.41
Picone A,Millard Fillmore Hosp,Western NY - Buffalo,CABG,10,0,0,1.79
Aldridge J,Millard Fillmore Hosp,Western NY - Buffalo,Valve or Valve/CABG,170,3,1.76,1.92
Ashraf M,Millard Fillmore Hosp,Western NY - Buffalo,Valve or Valve/CABG,777,13,1.67,1.65
Picone A,Millard Fillmore Hosp,Western NY - Buffalo,Valve or Valve/CABG,38,1,2.63,2.31
Bello R A,Montefiore - Moses,Bronx,CABG,14,0,0,2.74
D Alessandro D A,Montefiore - Moses,Bronx,CABG,255,5,1.96,1.5
Deanda A,Montefiore - Moses,Bronx,CABG,17,0,0,1.25
Derose J J,Montefiore - Moses,Bronx,CABG,54,1,1.85,2.07
Goldstein D J,Montefiore - Moses,Bronx,CABG,171,1,0.58,1.86
Michler R E,Montefiore - Moses,Bronx,CABG,68,1,1.47,1.15
Bello R A,Montefiore - Moses,Bronx,Valve or Valve/CABG,17,0,0,3.16
D Alessandro D A,Montefiore - Moses,Bronx,Valve or Valve/CABG,397,12,3.02,2.68
Deanda A,Montefiore - Moses,Bronx,Valve or Valve/CABG,26,0,0,2.3
Derose J J,Montefiore - Moses,Bronx,Valve or Valve/CABG,59,1,1.69,2.27
Goldstein D J,Montefiore - Moses,Bronx,Valve or Valve/CABG,299,8,2.68,3.48
Michler R E,Montefiore - Moses,Bronx,Valve or Valve/CABG,191,9,4.71,3.05
Weinstein S,Montefiore - Moses,Bronx,Valve or Valve/CABG,1,0,0,0.43
Bello R A,Montefiore - Weiler,Bronx,CABG,224,5,2.23,1.38
D Alessandro D A,Montefiore - Weiler,Bronx,CABG,3,0,0,1.68
Derose J J,Montefiore - Weiler,Bronx,CABG,266,1,0.38,1.24
Goldstein D J,Montefiore - Weiler,Bronx,CABG,43,0,0,1.37
Michler R E,Montefiore - Weiler,Bronx,CABG,9,1,11.11,6.07
Bello R A,Montefiore - Weiler,Bronx,Valve or Valve/CABG,325,16,4.92,2.66
D Alessandro D A,Montefiore - Weiler,Bronx,Valve or Valve/CABG,4,0,0,1.54
Derose J J,Montefiore - Weiler,Bronx,Valve or Valve/CABG,468,15,3.21,2.58
Goldstein D J,Montefiore - Weiler,Bronx,Valve or Valve/CABG,80,0,0,3.09
Michler R E,Montefiore - Weiler,Bronx,Valve or Valve/CABG,31,1,3.23,4.45
Adams D H,Mount Sinai Hospital,Manhattan,CABG,17,0,0,0.78
Anyanwu A C,Mount Sinai Hospital,Manhattan,CABG,43,1,2.33,1.48
Chikwe J Y,Mount Sinai Hospital,Manhattan,CABG,82,1,1.22,1.58
Ciuffo G B,Mount Sinai Hospital,Manhattan,CABG,94,6,6.38,1.55
DiLuozzo G,Mount Sinai Hospital,Manhattan,CABG,4,0,0,0.95
Filsoufi F,Mount Sinai Hospital,Manhattan,CABG,278,5,1.8,1.14
Griepp R,Mount Sinai Hospital,Manhattan,CABG,1,0,0,0.48
Nguyen K,Mount Sinai Hospital,Manhattan,CABG,1,0,0,0.26
Reddy R C,Mount Sinai Hospital,Manhattan,CABG,262,8,3.05,1.07
Stelzer P,Mount Sinai Hospital,Manhattan,CABG,43,2,4.65,0.94
Tannous H J,Mount Sinai Hospital,Manhattan,CABG,58,0,0,1
Zias E,Mount Sinai Hospital,Manhattan,CABG,47,1,2.13,1.29
Adams D H,Mount Sinai Hospital,Manhattan,Valve or Valve/CABG,886,19,2.14,2.75
Anyanwu A C,Mount Sinai Hospital,Manhattan,Valve or Valve/CABG,107,10,9.35,5.06
Chikwe J Y,Mount Sinai Hospital,Manhattan,Valve or Valve/CABG,134,2,1.49,2.12
Ciuffo G B,Mount Sinai Hospital,Manhattan,Valve or Valve/CABG,174,12,6.9,2.57
DiLuozzo G,Mount Sinai Hospital,Manhattan,Valve or Valve/CABG,18,1,5.56,2.43
Filsoufi F,Mount Sinai Hospital,Manhattan,Valve or Valve/CABG,405,11,2.72,2.17
Griepp R,Mount Sinai Hospital,Manhattan,Valve or Valve/CABG,6,0,0,2.42
Nguyen K,Mount Sinai Hospital,Manhattan,Valve or Valve/CABG,2,0,0,0.73
Reddy R C,Mount Sinai Hospital,Manhattan,Valve or Valve/CABG,362,20,5.52,2.42
Stelzer P,Mount Sinai Hospital,Manhattan,Valve or Valve/CABG,256,11,4.3,3.87
Tannous H J,Mount Sinai Hospital,Manhattan,Valve or Valve/CABG,82,0,0,1.49
Zias E,Mount Sinai Hospital,Manhattan,Valve or Valve/CABG,72,4,5.56,1.91
Esposito R,North Shore Univ Hosp,NY Metro - Long Island,CABG,312,5,1.6,1.87
Hall M,North Shore Univ Hosp,NY Metro - Long Island,CABG,213,2,0.94,2.45
Hartman A,North Shore Univ Hosp,NY Metro - Long Island,CABG,73,1,1.37,1.68
Kalimi R,North Shore Univ Hosp,NY Metro - Long Island,CABG,259,5,1.93,2.4
Pogo G,North Shore Univ Hosp,NY Metro - Long Island,CABG,191,5,2.62,1.61
Vatsia S,North Shore Univ Hosp,NY Metro - Long Island,CABG,224,2,0.89,1.54
Esposito R,North Shore Univ Hosp,NY Metro - Long Island,Valve or Valve/CABG,552,24,4.35,3.53
Hall M,North Shore Univ Hosp,NY Metro - Long Island,Valve or Valve/CABG,400,12,3,4.03
Hartman A,North Shore Univ Hosp,NY Metro - Long Island,Valve or Valve/CABG,426,15,3.52,4.56
Kalimi R,North Shore Univ Hosp,NY Metro - Long Island,Valve or Valve/CABG,477,7,1.47,3.2
Pogo G,North Shore Univ Hosp,NY Metro - Long Island,Valve or Valve/CABG,344,12,3.49,3.02
Vatsia S,North Shore Univ Hosp,NY Metro - Long Island,Valve or Valve/CABG,388,4,1.03,2.77
Lang S,NY Hospital - Queens,Queens,CABG,294,2,0.68,1.27
Lang S,NY Hospital - Queens,Queens,Valve or Valve/CABG,384,2,0.52,1.58
Ciaburri D,NY Methodist Hospital,Kings,CABG,65,0,0,2.22
Tortolani A,NY Methodist Hospital,Kings,CABG,138,3,2.17,1.27
Ciaburri D,NY Methodist Hospital,Kings,Valve or Valve/CABG,117,0,0,3.43
Tortolani A,NY Methodist Hospital,Kings,Valve or Valve/CABG,221,8,3.62,2.12
Argenziano M,NYP- Columbia Presby.,Manhattan,CABG,150,6,4,1.25
Naka Y,NYP- Columbia Presby.,Manhattan,CABG,298,9,3.02,1.5
Smith C,NYP- Columbia Presby.,Manhattan,CABG,114,3,2.63,1.03
Stewart A S,NYP- Columbia Presby.,Manhattan,CABG,178,6,3.37,1.51
Takayama H,NYP- Columbia Presby.,Manhattan,CABG,75,1,1.33,1.75
Williams M R,NYP- Columbia Presby.,Manhattan,CABG,150,1,0.67,1.45
Argenziano M,NYP- Columbia Presby.,Manhattan,Valve or Valve/CABG,388,17,4.38,2.46
Chen J M,NYP- Columbia Presby.,Manhattan,Valve or Valve/CABG,1,0,0,0.31
Naka Y,NYP- Columbia Presby.,Manhattan,Valve or Valve/CABG,580,27,4.66,3.38
Quaegebeur J,NYP- Columbia Presby.,Manhattan,Valve or Valve/CABG,2,0,0,1.43
Smith C,NYP- Columbia Presby.,Manhattan,Valve or Valve/CABG,674,14,2.08,3.03
Stewart A S,NYP- Columbia Presby.,Manhattan,Valve or Valve/CABG,558,25,4.48,3.57
Takayama H,NYP- Columbia Presby.,Manhattan,Valve or Valve/CABG,126,3,2.38,3.08
Williams M R,NYP- Columbia Presby.,Manhattan,Valve or Valve/CABG,445,16,3.6,4.19
Ciaburri D,NYP- Weill Cornell,Manhattan,CABG,1,0,0,1
Girardi L,NYP- Weill Cornell,Manhattan,CABG,238,0,0,1.35
Isom O,NYP- Weill Cornell,Manhattan,CABG,31,0,0,1.05
Krieger K,NYP- Weill Cornell,Manhattan,CABG,190,1,0.53,1.46
Lang S,NYP- Weill Cornell,Manhattan,CABG,6,0,0,4.19
Naka Y,NYP- Weill Cornell,Manhattan,CABG,2,0,0,0.41
Salemi A,NYP- Weill Cornell,Manhattan,CABG,135,2,1.48,1.58
Tortolani A,NYP- Weill Cornell,Manhattan,CABG,4,1,25,0.57
Chen J M,NYP- Weill Cornell,Manhattan,Valve or Valve/CABG,6,0,0,1.26
Ciaburri D,NYP- Weill Cornell,Manhattan,Valve or Valve/CABG,2,0,0,2.79
Girardi L,NYP- Weill Cornell,Manhattan,Valve or Valve/CABG,927,15,1.62,3.08
Isom O,NYP- Weill Cornell,Manhattan,Valve or Valve/CABG,100,1,1,2.21
Krieger K,NYP- Weill Cornell,Manhattan,Valve or Valve/CABG,584,13,2.23,3.28
Lang S,NYP- Weill Cornell,Manhattan,Valve or Valve/CABG,15,0,0,2.63
Naka Y,NYP- Weill Cornell,Manhattan,Valve or Valve/CABG,2,0,0,0.41
Salemi A,NYP- Weill Cornell,Manhattan,Valve or Valve/CABG,259,5,1.93,2.4
Tortolani A,NYP- Weill Cornell,Manhattan,Valve or Valve/CABG,5,1,20,0.75
Balsam L B,NYU Hospitals Center,Manhattan,CABG,3,0,0,0.54
Crooke G,NYU Hospitals Center,Manhattan,CABG,5,0,0,1.35
Culliford A,NYU Hospitals Center,Manhattan,CABG,83,1,1.2,0.9
Deanda A,NYU Hospitals Center,Manhattan,CABG,2,0,0,0.92
Galloway A,NYU Hospitals Center,Manhattan,CABG,42,0,0,1.23
Grossi E,NYU Hospitals Center,Manhattan,CABG,9,0,0,0.89
Loulmet D F,NYU Hospitals Center,Manhattan,CABG,39,0,0,0.85
Mosca R S,NYU Hospitals Center,Manhattan,CABG,1,0,0,0.38
Ribakove G,NYU Hospitals Center,Manhattan,CABG,21,0,0,1.1
Schwartz C F,NYU Hospitals Center,Manhattan,CABG,120,1,0.83,1.27
Zias E,NYU Hospitals Center,Manhattan,CABG,95,2,2.11,0.96
Balsam L B,NYU Hospitals Center,Manhattan,Valve or Valve/CABG,6,0,0,1.78
Crooke G,NYU Hospitals Center,Manhattan,Valve or Valve/CABG,12,0,0,2.27
Culliford A,NYU Hospitals Center,Manhattan,Valve or Valve/CABG,184,6,3.26,3.1
Deanda A,NYU Hospitals Center,Manhattan,Valve or Valve/CABG,5,0,0,1.14
Galloway A,NYU Hospitals Center,Manhattan,Valve or Valve/CABG,574,17,2.96,3.03
Grossi E,NYU Hospitals Center,Manhattan,Valve or Valve/CABG,24,1,4.17,2.93
Loulmet D F,NYU Hospitals Center,Manhattan,Valve or Valve/CABG,245,6,2.45,2.22
Mosca R S,NYU Hospitals Center,Manhattan,Valve or Valve/CABG,6,0,0,1.03
Ribakove G,NYU Hospitals Center,Manhattan,Valve or Valve/CABG,67,3,4.48,3.23
Schwartz C F,NYU Hospitals Center,Manhattan,Valve or Valve/CABG,237,8,3.38,2.53
Zias E,NYU Hospitals Center,Manhattan,Valve or Valve/CABG,323,7,2.17,2.22
Becker E J,Rochester General Hosp,Western NY - Rochester,CABG,151,5,3.31,1.95
Cheeran D,Rochester General Hosp,Western NY - Rochester,CABG,518,7,1.35,1.81
Kirshner R,Rochester General Hosp,Western NY - Rochester,CABG,473,13,2.75,1.85
Becker E J,Rochester General Hosp,Western NY - Rochester,Valve or Valve/CABG,194,9,4.64,3.03
Cheeran D,Rochester General Hosp,Western NY - Rochester,Valve or Valve/CABG,852,28,3.29,2.93
Kirshner R,Rochester General Hosp,Western NY - Rochester,Valve or Valve/CABG,1070,44,4.11,3.23
Hartman A,Southside Hospital,NY Metro - Long Island,CABG,22,0,0,1.35
Kalimi R,Southside Hospital,NY Metro - Long Island,CABG,57,1,1.75,2.14
Manetta F,Southside Hospital,NY Metro - Long Island,CABG,33,1,3.03,1.95
Hartman A,Southside Hospital,NY Metro - Long Island,Valve or Valve/CABG,75,1,1.33,3.3
Kalimi R,Southside Hospital,NY Metro - Long Island,Valve or Valve/CABG,100,1,1,3.61
Manetta F,Southside Hospital,NY Metro - Long Island,Valve or Valve/CABG,41,1,2.44,2.4
El Amir N,St. Elizabeth Med Ctr,Central NY,CABG,233,3,1.29,1.68
Joyce F,St. Elizabeth Med Ctr,Central NY,CABG,324,8,2.47,1.58
Kelley J,St. Elizabeth Med Ctr,Central NY,CABG,87,3,3.45,1.35
El Amir N,St. Elizabeth Med Ctr,Central NY,Valve or Valve/CABG,346,8,2.31,2.46
Joyce F,St. Elizabeth Med Ctr,Central NY,Valve or Valve/CABG,508,20,3.94,2.51
Kelley J,St. Elizabeth Med Ctr,Central NY,Valve or Valve/CABG,138,7,5.07,3.03
Bercow N,St. Francis Hospital,NY Metro - Long Island,CABG,316,3,0.95,2.09
Colangelo R,St. Francis Hospital,NY Metro - Long Island,CABG,667,11,1.65,1.63
Fernandez H A,St. Francis Hospital,NY Metro - Long Island,CABG,360,3,0.83,2.15
Lamendola C,St. Francis Hospital,NY Metro - Long Island,CABG,342,10,2.92,1.89
Robinson N,St. Francis Hospital,NY Metro - Long Island,CABG,373,10,2.68,1.62
Taylor J,St. Francis Hospital,NY Metro - Long Island,CABG,339,3,0.88,1.72
Bercow N,St. Francis Hospital,NY Metro - Long Island,Valve or Valve/CABG,536,22,4.1,3.95
Colangelo R,St. Francis Hospital,NY Metro - Long Island,Valve or Valve/CABG,1075,27,2.51,3.34
Fernandez H A,St. Francis Hospital,NY Metro - Long Island,Valve or Valve/CABG,512,12,2.34,3.24
Lamendola C,St. Francis Hospital,NY Metro - Long Island,Valve or Valve/CABG,570,26,4.56,2.96
Robinson N,St. Francis Hospital,NY Metro - Long Island,Valve or Valve/CABG,781,31,3.97,2.95
Taylor J,St. Francis Hospital,NY Metro - Long Island,Valve or Valve/CABG,876,19,2.17,3.51
Green G R,St. Josephs Hospital,Central NY,CABG,277,4,1.44,1.72
Marvasti M,St. Josephs Hospital,Central NY,CABG,204,3,1.47,1.55
Nazem A,St. Josephs Hospital,Central NY,CABG,368,4,1.09,1.96
Rosenberg J,St. Josephs Hospital,Central NY,CABG,205,7,3.41,2.3
Zhou Z,St. Josephs Hospital,Central NY,CABG,357,7,1.96,1.95
Green G R,St. Josephs Hospital,Central NY,Valve or Valve/CABG,494,12,2.43,3.01
Marvasti M,St. Josephs Hospital,Central NY,Valve or Valve/CABG,479,10,2.09,3.34
Nazem A,St. Josephs Hospital,Central NY,Valve or Valve/CABG,538,11,2.04,3.16
Rosenberg J,St. Josephs Hospital,Central NY,Valve or Valve/CABG,352,26,7.39,3.8
Zhou Z,St. Josephs Hospital,Central NY,Valve or Valve/CABG,591,17,2.88,3.29
Balaram S K,St. Lukes at St. Lukes,Manhattan,CABG,80,2,2.5,1.86
Swistel D,St. Lukes at St. Lukes,Manhattan,CABG,268,9,3.36,2.15
Balaram S K,St. Lukes at St. Lukes,Manhattan,Valve or Valve/CABG,141,5,3.55,3.12
Swistel D,St. Lukes at St. Lukes,Manhattan,Valve or Valve/CABG,473,23,4.86,2.84
Bennett E,St. Peters Hospital,Capital District,CABG,145,0,0,1.18
Canavan T,St. Peters Hospital,Capital District,CABG,447,4,0.89,1.44
Reich H,St. Peters Hospital,Capital District,CABG,5,0,0,1.27
Saifi J,St. Peters Hospital,Capital District,CABG,288,6,2.08,1.6
Bennett E,St. Peters Hospital,Capital District,Valve or Valve/CABG,442,7,1.58,2.79
Canavan T,St. Peters Hospital,Capital District,Valve or Valve/CABG,549,6,1.09,1.91
Depan H,St. Peters Hospital,Capital District,Valve or Valve/CABG,1,0,0,2.16
Reich H,St. Peters Hospital,Capital District,Valve or Valve/CABG,5,0,0,1.27
Saifi J,St. Peters Hospital,Capital District,Valve or Valve/CABG,613,21,3.43,3.22
Asgarian K T,Staten Island UnivHosp,Staten Island,CABG,320,5,1.56,1.33
McGinn J,Staten Island UnivHosp,Staten Island,CABG,348,5,1.44,1.29
Nabagiez J P,Staten Island UnivHosp,Staten Island,CABG,8,0,0,1.73
Rosell F M,Staten Island UnivHosp,Staten Island,CABG,280,3,1.07,1.52
Asgarian K T,Staten Island UnivHosp,Staten Island,Valve or Valve/CABG,531,19,3.58,2.15
McGinn J,Staten Island UnivHosp,Staten Island,Valve or Valve/CABG,442,9,2.04,1.7
Nabagiez J P,Staten Island UnivHosp,Staten Island,Valve or Valve/CABG,8,0,0,1.73
Rosell F M,Staten Island UnivHosp,Staten Island,Valve or Valve/CABG,313,5,1.6,1.85
Hicks G,Strong Memorial Hosp,Western NY - Rochester,CABG,287,5,1.74,1.36
Knight P,Strong Memorial Hosp,Western NY - Rochester,CABG,529,14,2.65,1.2
Massey H,Strong Memorial Hosp,Western NY - Rochester,CABG,149,2,1.34,1.24
Alfieris G,Strong Memorial Hosp,Western NY - Rochester,Valve or Valve/CABG,1,0,0,1.23
Hicks G,Strong Memorial Hosp,Western NY - Rochester,Valve or Valve/CABG,396,11,2.78,2.25
Knight P,Strong Memorial Hosp,Western NY - Rochester,Valve or Valve/CABG,1000,32,3.2,2.12
Massey H,Strong Memorial Hosp,Western NY - Rochester,Valve or Valve/CABG,187,4,2.14,1.98
Wong K,Unitd Hlth Svcs-Wilson,Central NY,CABG,285,4,1.4,1.82
Yousuf M,Unitd Hlth Svcs-Wilson,Central NY,CABG,282,5,1.77,1.6
Wong K,Unitd Hlth Svcs-Wilson,Central NY,Valve or Valve/CABG,417,6,1.44,2.4
